title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
Project Admin,Other,U3 Infotech Pte Ltd,Singapore,SG,84000,132000,108000,SGD,Contract Job,,,2025-05-27,https://www.foundit.sg/job/project-admin-u3-infotech-pte-ltd-singapore-33754334,founditsg
Site Reliability Engineer,Software/Web Development,Salt Talent Search Pte Ltd,Robinson,SG,108000,120000,114000,SGD,Contract Job,,,2025-05-27,https://www.foundit.sg/job/site-reliability-engineer-salt-talent-search-pte-ltd-robinson-33521491,founditsg
Reporting and Analytics Developer / Data Engineer,Software/Web development,Infinite Computer Solutions Pte Ltd,"Singapore, Shenton Way, Tanjong Pagar",SG,72000,84000,78000,SGD,,,,2025-05-27,https://www.foundit.sg/job/reporting-and-analytics-developer-data-engineer-infinite-computer-solutions-pte-ltd-singapore-shenton-way-tanjong-pagar-33811648,founditsg
Full Stack Developer,Software/Web development,Avensys Consulting Pte Ltd,Singapore,SG,72000,102000,87000,SGD,Contract Job,,,2025-05-27,https://www.foundit.sg/job/full-stack-developer-avensys-consulting-pte-ltd-singapore-33882311,founditsg
Engagement Manager,Other,Total eBiz Solutions Pte Ltd,Singapore,SG,96000,114000,105000,SGD,,,,2025-05-27,https://www.foundit.sg/job/engagement-manager-total-ebiz-solutions-pte-ltd-singapore-33668034,founditsg
Crypto Administrator,Infra & System,U3 Infotech Pte Ltd,Singapore,SG,66000,93600,79800,SGD,Contract Job,,,2025-05-27,https://www.foundit.sg/job/crypto-administrator-u3-infotech-pte-ltd-singapore-33754480,founditsg
Tagetik Developer,Software/Web development,R Systems Singapore Pte Ltd,"Bukit Merah, Jalan Bukit Merah",SG,90000,102000,96000,SGD,Contract Job,,,2025-05-27,https://www.foundit.sg/job/tagetik-developer-r-systems-singapore-pte-ltd-bukit-merah-jalan-bukit-merah-33521505,founditsg
Facilities Engineer (M&E),Software/Web Development,Anter Consulting Pte. Ltd,Singapore,SG,54000,84000,69000,SGD,,,,2025-05-27,https://www.foundit.sg/job/facilities-engineer-me-anter-consulting-pte-ltd-singapore-33804488,founditsg
Procurement Manager (IT),Other,Atomic Recruitment Pte. Ltd,Robinson,SG,108,108,108,SGD,,,,2025-05-27,https://www.foundit.sg/job/procurement-manager-it-atomic-recruitment-pte-ltd-robinson-33553644,founditsg
SAP BRIM Functional Lead – FICA,SAP/ERP/CRM,Avensys Consulting Pte Ltd,"Singapore, Ubi",SG,120000,156000,138000,SGD,Contract Job,,,2025-05-27,https://www.foundit.sg/job/sap-brim-functional-lead-fica-avensys-consulting-pte-ltd-singapore-ubi-33882289,founditsg
Cloud Developer,Software/Web development,U3 Infotech Pte Ltd,Singapore,SG,96000,150000,123000,SGD,Contract Job,,,2025-05-27,https://www.foundit.sg/job/cloud-developer-u3-infotech-pte-ltd-singapore-33754338,founditsg
