title,category,company,location,country,min_salary,max_salary,avg_salary,currency,job_type,work_arrangement,level,date_posted,job_link,source
Junior/Senior - Business Analyst,Data & Analytics,Ngernturbo,"Pak Kret, Nonthaburi",TH,,,,,Full time,On-site,Junior,2025-05-23,https://th.jobsdb.com/job/84423479,jobsdbth
Data Analyst (Stocktake Performance & Process Optimization),Data & Analytics,Central Group,"Bang Rak, Bangkok",TH,,,,,Full time,On-site,,2025-05-13,https://th.jobsdb.com/job/84190681,jobsdbth
"Python Engineer, AI Model Training (TH)",Software/Web Development,Gear Inc.,Bangkok,TH,,,,,Part time,Remote,,2025-05-13,https://th.jobsdb.com/job/84187142,jobsdbth
Business Analyst (Digital Channel Platform),Data & Analytics,ttb spark,"Chatuchak, Bangkok",TH,,,,,Full time,Hybrid,,2025-05-20,https://th.jobsdb.com/job/84353357,jobsdbth
Full-Stack Developer,Software/Web Development,MR.DIY,Samut Prakan,TH,,,,,Full time,On-site,,2025-05-08,https://th.jobsdb.com/job/84092002,jobsdbth
Junior Developer,Software/Web Development,Private Advertiser,"Pathum Wan, Bangkok",TH,30000,40000,35000,THB,Full time,On-site,Junior,2025-05-07,https://th.jobsdb.com/job/84064040,jobsdbth
Project Manager (IT Software),Project & Product Management,Avalant,"Sathon, Bangkok",TH,70000,100000,85000,THB,Full time,On-site,Manager,2025-05-21,https://th.jobsdb.com/job/84382031,jobsdbth
Project Manager,Project & Product Management,Asia Media Studio,Bangkok,TH,,,,,Full time,On-site,Manager,2025-05-19,https://th.jobsdb.com/job/84312673,jobsdbth
Business Analyst,Data & Analytics,Sahamitr Pressure Container,"Bang Khun Thian, Bangkok",TH,,,,,Full time,On-site,,2025-05-20,https://th.jobsdb.com/job/84334992,jobsdbth
Data Analyst,Data & Analytics,TDCX,"Bang Rak, Bangkok",TH,,,,,Full time,On-site,,2025-05-02,https://th.jobsdb.com/job/83967544,jobsdbth
HCM Functional Consultant,IT Consulting & Solutions,RAMS Solutions,Bangkok,TH,,,,,Full time,Hybrid,,2025-05-27,https://th.jobsdb.com/job/84499828,jobsdbth
